month,plot_id,Tmax,Tmin
2,740,26.68,7.26
2,741,27.92,6.82
2,742,27.44,8.08
2,743,25.1,8.9
2,744,28.98,9.18
2,745,27.36,7.98
2,746,26.16,9.56
2,747,32.26,10.72
2,748,29.34,10.36
2,749,29.34,9.2
2,750,28.38,11.02
2,751,28.7,9.54
2,753,23.48,9.32
2,754,27.1,8.76
2,755,29.72,8.9
2,756,27.24,4.78
2,757,27.46,4.24
2,758,19.14,7.76
2,759,20.78,6.96
2,760,27.08,5.26
2,761,26.42,3.78
2,762,23.56,6.32
2,763,26.48,4.98
3,740,24.241935483870968,7.290322580645161
3,741,25.133333333333333,5.5
3,742,25.033333333333335,7.483333333333333
3,743,21.8,7.3
3,744,25.516666666666666,7.683333333333334
3,745,26.316666666666666,7.283333333333333
3,746,23.166666666666668,7.533333333333333
3,747,25.816666666666666,8.9
3,748,26.1,8.4
3,749,24.816666666666666,7.833333333333333
3,750,25.666666666666668,8.75
3,751,25.383333333333333,7.966666666666667
3,753,21.516666666666666,8.65
3,754,22.366666666666667,8.1
3,755,23.35,7.533333333333333
3,756,25.15,6.716666666666667
3,757,25.166666666666668,6.233333333333333
3,758,15.5,8.133333333333333
3,759,16.966666666666665,7.9
3,760,25.333333333333332,6.616666666666666
3,761,24.933333333333334,6.283333333333333
3,762,22.683333333333334,8.483333333333333
3,763,25.366666666666667,7.516666666666667
4,740,28.183333333333334,9.566666666666666
4,741,30.283333333333335,7.883333333333334
4,742,33.833333333333336,10.333333333333334
4,743,27.683333333333334,10.033333333333333
4,744,31.183333333333334,10.4
4,745,32.93333333333333,10.216666666666667
4,746,30.7,9.916666666666666
4,747,30.416666666666668,11.583333333333334
4,748,33.03333333333333,11.266666666666667
4,749,31.9,10.216666666666667
4,750,30.533333333333335,11.05
4,751,31.133333333333333,10.633333333333333
4,752,29.318181818181817,10.113636363636363
4,753,29.1,10.566666666666666
4,754,30.116666666666667,10.316666666666666
4,755,28.983333333333334,10.283333333333333
4,756,33.05,8.666666666666666
4,757,31.683333333333334,7.916666666666667
4,758,21.316666666666666,10.016666666666667
4,759,21.233333333333334,9.033333333333333
4,760,32.56666666666667,8.866666666666667
4,761,32.4,7.666666666666667
4,762,30.766666666666666,9.9
4,763,35.36666666666667,9.6
5,740,28.096774193548388,10.741935483870968
5,741,30.64516129032258,9.612903225806452
5,742,36.306451612903224,12.290322580645162
5,743,31.806451612903224,12.387096774193548
5,744,32.87096774193548,11.82258064516129
5,745,34.096774193548384,12.258064516129032
5,746,33.67741935483871,11.903225806451612
5,747,31.322580645161292,13.548387096774194
5,748,33.32258064516129,13.564516129032258
5,749,32.58064516129032,11.629032258064516
5,750,31.661290322580644,12
5,751,34,12.064516129032258
5,752,32.17741935483871,12.451612903225806
5,753,31.177419354838708,11.838709677419354
5,754,32.483870967741936,10.612903225806452
5,755,31.838709677419356,11.85483870967742
5,756,34.064516129032256,11.403225806451612
5,757,34.45161290322581,11.129032258064516
5,758,24.612903225806452,11.46774193548387
5,759,22.677419354838708,10.306451612903226
5,760,31.225806451612904,11.774193548387096
5,761,32.33870967741935,10.451612903225806
5,762,32.145161290322584,12.82258064516129
5,763,34.064516129032256,13.274193548387096
6,740,37.81818181818182,13.431818181818182
6,741,40.88636363636363,13.045454545454545
6,742,47.38636363636363,15.181818181818182
6,743,40.81818181818182,15.863636363636363
6,744,41.84090909090909,15.909090909090908
6,745,43.81818181818182,15.795454545454545
6,746,42.63636363636363,14.909090909090908
6,747,39.93181818181818,17.636363636363637
6,748,42.97727272727273,17.34090909090909
6,749,40.40909090909091,14.931818181818182
6,750,40.29545454545455,15.636363636363637
6,751,43.18181818181818,15.090909090909092
6,752,41.22727272727273,15.113636363636363
6,753,37.86363636363637,14.136363636363637
6,754,43.20454545454545,12.931818181818182
6,755,40.88636363636363,14.954545454545455
6,756,42.68181818181818,12.590909090909092
6,757,43.97727272727273,12.159090909090908
6,758,36.04545454545455,14.454545454545455
6,759,31.227272727272727,12.659090909090908
6,760,38.88636363636363,13.227272727272727
6,761,39.70454545454545,11.704545454545455
6,762,40.06818181818182,14.659090909090908
6,763,41.09090909090909,14.863636363636363
