"plot","subplot","depth"
740,1,45
740,2,45
740,3,45
740,4,45
740,5,45
741,1,45
741,2,45
741,3,45
741,4,15
741,5,40
742,1,30.5
742,2,32.5
742,3,12.5
742,4,27.5
742,5,18
743,1,36
743,2,13.5
743,3,26.5
743,4,6
743,5,12.5
744,1,14.5
744,2,8
744,3,22.5
744,4,31.5
744,5,18
745,1,17
745,2,18.5
745,3,15.5
745,4,5
745,5,8
746,1,45
746,2,45
746,3,45
746,4,45
746,5,45
747,1,9.5
747,2,20
747,3,45
747,4,45
747,5,38
748,1,24.5
748,2,10
748,3,12.5
748,4,13
748,5,11
749,1,45
749,2,45
749,3,45
749,4,45
749,5,42.5
750,1,41.5
750,2,45
750,3,39.5
750,4,45
750,5,26
751,1,16.5
751,2,45
751,3,35.5
751,4,34
751,5,40
752,1,11.5
752,2,7
752,3,15
752,4,18.5
752,5,17.5
753,1,45
753,2,27
753,3,40
753,4,24
753,5,42.5
754,1,42.5
754,2,42.5
754,3,42.5
754,4,39
754,5,34.5
755,1,18
755,2,12
755,3,8.5
755,4,12
755,5,20.5
756,1,30.5
756,2,31
756,3,45
756,4,45
756,5,45
757,1,27
757,2,45
757,3,30.5
757,4,45
757,5,45
758,1,28.5
758,2,17
758,3,16.5
758,4,34.5
758,5,16.5
759,1,22
759,2,26.5
759,3,22
759,4,22
759,5,20
760,1,45
760,2,34.5
760,3,45
760,4,42.5
760,5,45
761,1,42.5
761,2,40
761,3,42.5
761,4,41
761,5,42.5
762,1,27
762,2,29
762,3,26.5
762,4,38
762,5,28
763,1,8.5
763,2,3
763,3,2.5
763,4,3.5
763,5,7
